x	y	z
-56.6405	-36.7709	0
20.8648	-31.2535	0
-4.77899	-78.1991	0
30.8855	29.754	0
17.0761	73.6133	0
113.904	-9.971	0
53.2661	-46.2824	0
-111.007	50.082	0
-27.3107	-4.71734	0
79.0937	5.6823	0
67.264	-54.5511	0
132.76	-33.7159	0
52.6352	-28.49	0
-39.4794	-111.144	0
-69.3455	93.2817	0
-122.781	124.35	0
146.714	-19.9291	0
-114.966	-41.0442	0
-22.9541	-119.993	0
83.107	-114.218	0
46.0497	73.3958	0
74.7691	39.5309	0
-105.323	33.5465	0
-121.322	190.809	0
-120.034	-115.807	0
-10.2463	-147.821	0
-86.0442	88.3388	0
93.0803	15.2159	0
-19.8406	108.381	0
-153.75	63.5414	0
-38.582	23.3818	0
19.6314	-131.778	0
-93.1787	-135.895	0
-154.183	45.9148	0
-178.951	-44.2117	0
-11.3377	1.57192	0
-11.262	-14.6812	0
-159.449	-95.2457	0
-66.9263	-123.64	0
-74.2428	-108.137	0
31.2563	-146.858	0
49.1475	4.26619	0
1.21557	130.013	0
-138.742	40.3631	0
4.50974	-138.903	0
-136.986	-21.2685	0
-38.7728	-144.701	0
37.2211	-106.343	0
-177.32	-91.8929	0
-83.1834	151.369	0
-60.4325	169.925	0
-131.888	-37.4213	0
64.7271	-3.15149	0
-78.7698	42.0818	0
-92.4631	-60.2396	0
52.9663	-97.4327	0
60.9135	30.5307	0
-73.7891	-17.6153	0
-76.3076	60.0526	0
-77.5313	168.076	0
-57.5614	-21.1628	0
3.6967	-7.278	0
1.69739	67.3309	0
-26.4732	12.1164	0
62.5035	82.0222	0
-132.125	-83.467	0
45.726	38.9329	0
69.9031	140.863	0
-122.04	36.7646	0
-59.7098	-4.39461	0
-60.2181	64.4987	0
61.7986	64.4881	0
-93.7442	117.263	0
-42.7499	-11.767	0
-130.693	140.681	0
-108.622	-103.085	0
-72.0479	138.458	0
-81.6415	105.067	0
-55.3688	143.436	0
-36.3865	103.236	0
-4.23194	113.779	0
23.0807	-97.697	0
